Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
8/1/2020,0:00,1.437,-,1.406
8/1/2020,1:00,1.724,-,1.685
8/1/2020,2:00,1.916,-,1.9
8/1/2020,3:00,1.951,-,1.98
8/1/2020,4:00,1.802,-,1.823
8/1/2020,5:00,1.479,-,1.52
8/1/2020,6:00,1.036,-,1.054
8/1/2020,7:00,0.554,-,0.561
8/1/2020,8:00,0.127,-,0.139
8/1/2020,9:00,-0.163,-,-0.138
8/1/2020,10:00,-0.266,-,-0.227
8/1/2020,11:00,-0.173,-,-0.154
8/1/2020,12:00,0.081,-,0.09
8/1/2020,13:00,0.427,-,0.455
8/1/2020,14:00,0.78,-,0.814
8/1/2020,15:00,1.061,-,1.122
8/1/2020,16:00,1.214,-,1.265
8/1/2020,17:00,1.223,-,1.247
8/1/2020,18:00,1.113,-,1.117
8/1/2020,19:00,0.939,-,0.939
8/1/2020,20:00,0.776,-,0.793
8/1/2020,21:00,0.692,-,0.691
8/1/2020,22:00,0.733,-,0.718
8/1/2020,23:00,0.911,-,0.867
8/2/2020,0:00,1.195,-,1.166
8/2/2020,1:00,1.521,-,1.504
8/2/2020,2:00,1.807,-,1.816
8/2/2020,3:00,1.973,-,1.982
8/2/2020,4:00,1.961,-,2.006
8/2/2020,5:00,1.752,-,1.79
8/2/2020,6:00,1.374,-,1.422
8/2/2020,7:00,0.891,-,0.909
8/2/2020,8:00,0.398,-,0.414
8/2/2020,9:00,-0.008,-,0.006
8/2/2020,10:00,-0.25,-,-0.263
8/2/2020,11:00,-0.287,-,-0.273
8/2/2020,12:00,-0.124,-,-0.132
8/2/2020,13:00,0.187,-,0.18
8/2/2020,14:00,0.565,-,0.566
8/2/2020,15:00,0.919,-,0.907
8/2/2020,16:00,1.171,-,1.195
8/2/2020,17:00,1.276,-,1.293
8/2/2020,18:00,1.231,-,1.255
8/2/2020,19:00,1.075,-,1.086
8/2/2020,20:00,0.876,-,0.878
8/2/2020,21:00,0.714,-,0.692
8/2/2020,22:00,0.655,-,0.631
8/2/2020,23:00,0.738,-,0.723
8/3/2020,0:00,0.959,-,0.924
8/3/2020,1:00,1.273,-,1.254
8/3/2020,2:00,1.605,-,1.586
8/3/2020,3:00,1.868,-,1.875
8/3/2020,4:00,1.986,-,1.993
8/3/2020,5:00,1.911,-,1.924
8/3/2020,6:00,1.64,-,1.659
8/3/2020,7:00,1.215,-,1.243
8/3/2020,8:00,0.718,-,0.737
8/3/2020,9:00,0.245,-,0.249
8/3/2020,10:00,-0.107,-,-0.099
8/3/2020,11:00,-0.272,-,-0.281
8/3/2020,12:00,-0.226,-,-0.236
8/3/2020,13:00,0.006,-,-0.04
8/3/2020,14:00,0.358,-,0.339
8/3/2020,15:00,0.741,-,0.74
8/3/2020,16:00,1.065,-,1.082
8/3/2020,17:00,1.26,-,1.258
8/3/2020,18:00,1.298,-,1.325
8/3/2020,19:00,1.194,-,1.207
8/3/2020,20:00,1,-,1.018
8/3/2020,21:00,0.794,-,0.812
8/3/2020,22:00,0.654,-,0.672
8/3/2020,23:00,0.638,-,0.637
8/4/2020,0:00,0.77,-,0.754
8/4/2020,1:00,1.029,-,1.019
8/4/2020,2:00,1.358,-,1.347
8/4/2020,3:00,1.673,-,1.685
8/4/2020,4:00,1.89,-,1.914
8/4/2020,5:00,1.941,-,1.983
8/4/2020,6:00,1.796,-,1.813
8/4/2020,7:00,1.47,-,1.491
8/4/2020,8:00,1.022,-,1.011
8/4/2020,9:00,0.54,-,0.521
8/4/2020,10:00,0.122,-,0.126
8/4/2020,11:00,-0.148,-,-0.152
8/4/2020,12:00,-0.22,-,-0.211
8/4/2020,13:00,-0.091,-,-0.104
8/4/2020,14:00,0.196,-,0.191
8/4/2020,15:00,0.565,-,0.562
8/4/2020,16:00,0.923,-,0.9
8/4/2020,17:00,1.19,-,1.209
8/4/2020,18:00,1.312,-,1.317
8/4/2020,19:00,1.279,-,1.295
8/4/2020,20:00,1.123,-,1.132
8/4/2020,21:00,0.91,-,0.924
8/4/2020,22:00,0.717,-,0.763
8/4/2020,23:00,0.617,-,0.629
8/5/2020,0:00,0.652,-,0.653
8/5/2020,1:00,0.829,-,0.841
8/5/2020,2:00,1.111,-,1.12
8/5/2020,3:00,1.429,-,1.45
8/5/2020,4:00,1.702,-,1.726
8/5/2020,5:00,1.852,-,1.859
8/5/2020,6:00,1.829,-,1.833
8/5/2020,7:00,1.622,-,1.661
8/5/2020,8:00,1.262,-,1.263
8/5/2020,9:00,0.821,-,0.833
8/5/2020,10:00,0.388,-,0.407
8/5/2020,11:00,0.053,-,0.093
8/5/2020,12:00,-0.118,-,-0.079
8/5/2020,13:00,-0.096,-,-0.089
8/5/2020,14:00,0.103,-,0.116
8/5/2020,15:00,0.421,-,0.436
8/5/2020,16:00,0.776,-,0.825
8/5/2020,17:00,1.084,-,1.103
8/5/2020,18:00,1.277,-,1.285
8/5/2020,19:00,1.321,-,1.322
8/5/2020,20:00,1.227,-,1.252
8/5/2020,21:00,1.039,-,1.033
8/5/2020,22:00,0.828,-,0.864
8/5/2020,23:00,0.667,-,0.717
8/6/2020,0:00,0.614,-,0.625
8/6/2020,1:00,0.696,-,0.713
8/6/2020,2:00,0.901,-,0.939
8/6/2020,3:00,1.18,-,1.211
8/6/2020,4:00,1.463,-,1.493
8/6/2020,5:00,1.674,-,1.714
8/6/2020,6:00,1.749,-,1.779
8/6/2020,7:00,1.658,-,1.677
8/6/2020,8:00,1.409,-,1.449
8/6/2020,9:00,1.047,-,1.074
8/6/2020,10:00,0.646,-,0.682
8/6/2020,11:00,0.29,-,0.324
8/6/2020,12:00,0.055,-,0.083
8/6/2020,13:00,-0.015,-,0.021
8/6/2020,14:00,0.088,-,0.139
8/6/2020,15:00,0.331,-,0.347
8/6/2020,16:00,0.65,-,0.698
8/6/2020,17:00,0.966,-,0.988
8/6/2020,18:00,1.206,-,1.224
8/6/2020,19:00,1.321,-,1.357
8/6/2020,20:00,1.297,-,1.332
8/6/2020,21:00,1.159,-,1.184
8/6/2020,22:00,0.961,-,0.997
8/6/2020,23:00,0.77,-,0.811
8/7/2020,0:00,0.649,-,0.696
8/7/2020,1:00,0.64,-,0.673
8/7/2020,2:00,0.752,-,0.793
8/7/2020,3:00,0.961,-,0.986
8/7/2020,4:00,1.212,-,1.247
8/7/2020,5:00,1.44,-,1.485
8/7/2020,6:00,1.579,-,1.61
8/7/2020,7:00,1.587,-,1.617
8/7/2020,8:00,1.449,-,1.493
8/7/2020,9:00,1.188,-,1.217
8/7/2020,10:00,0.857,-,0.877
8/7/2020,11:00,0.526,-,0.554
8/7/2020,12:00,0.265,-,0.291
8/7/2020,13:00,0.131,-,0.157
